window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score,correlation,binary_auc_score,three_class_f1_score
15,2023-07-03,2024-06-24,24,Governance,6,0.12161916349375979,0.0,0.006528422151243955,0.5033670033670034,0.29902310175673974
16,2023-10-02,2024-09-23,3,Environmental,1,0.4737777628163442,0.11643134249314491,0.14602527372616572,0.587171052631579,0.30722743203561614
16,2023-10-02,2024-09-23,15,Social,2,0.2580327979544361,0.045014469605684004,0.002830343972203768,0.5016447368421052,0.352708672401767
16,2023-10-02,2024-09-23,13,Social,3,0.13717540807242462,0.0,0.03595362043554602,0.5213815789473684,0.31171734394240785
16,2023-10-02,2024-09-23,24,Governance,4,0.13283053595779112,0.0,0.026869397061178857,0.5148026315789473,0.31021437578814626
16,2023-10-02,2024-09-23,12,Social,5,0.12376786575741575,0.0,0.09765499152880784,0.5419407894736843,0.24478680361033303
16,2023-10-02,2024-09-23,1,Environmental,6,0.11631874974163701,0.0,0.0014092291742496441,0.5008223684210527,0.2895927601809955
17,2024-01-01,2024-12-23,3,Environmental,1,0.4576128896056245,0.141829193712796,0.12180244718382117,0.5714285714285714,0.2895212038303694
17,2024-01-01,2024-12-23,13,Social,2,0.17933231493354287,0.0,0.20403148530364984,0.6190476190476191,0.2740173278613771
17,2024-01-01,2024-12-23,15,Social,3,0.13429104957214094,0.0,0.008306822984737948,0.5047619047619047,0.3287368901048792
17,2024-01-01,2024-12-23,12,Social,4,0.1308095727918386,0.0,0.13650891615423205,0.5595238095238095,0.23555555555555557
17,2024-01-01,2024-12-23,1,Environmental,5,0.12027466522450506,0.0,0.045686444683241005,0.5261904761904762,0.26223776223776224
17,2024-01-01,2024-12-23,24,Governance,6,0.092912580210408,0.0,0.003032748989304707,0.5015873015873016,0.22991822991822994
